,name,age,gender,ethnicity
0,X1001,67, F,C
1,X1002,89, F,C
2,X1003,66, F,C
3,X1004,64, F,C
4,X1005,62, F,C
5,X1006,87, F,C
6,X1007,73, M,C
7,X1008,75, F,C
8,X1009,73, F,C
9,X1010,83, F,C
10,X1011,82, M,C
11,X1012,48, M,C
12,X1013,77, F,C
13,X1014,54, F,C
14,X1015,63, F,C
15,X1016,71, M,C
16,X1017,68, M,C
17,X1018,80, M,C
18,X1019,92, F,C
19,X1020,60, F,C
20,X1021,79, F,C
21,X1022,68, M,C
22,X1023,93, M,C
23,X1025,84, F,C
24,X1026,74, F,C
25,X1027,74, F,C
26,X1028,76, M,C
27,X1029,56, M,C
28,X1030,72, M,C
29,X1031,75, F,C
30,X1032,79, F,C
31,X1033,73, M,C
32,X1034,82, F,C
33,X1035,74, M,C
34,X1036,79, F,C
35,X1037,54, F,C
36,X1039,101, F,C
37,X1040,79, F,C
38,X1041,84, F,C
39,X1042,85, F,C
40,X1043,87, M,C
41,X1044,74, M,C
42,X1045,77, F,C
43,X1046,73, F,C
44,X1047,87, M,C
45,X1048,85, F,C
46,X1049,88, M,C
47,X1050,66, M,C
48,X1051,78, F,C
49,X1052,53, M,C
50,X1053,76, F,C
51,X1054,67, F,C
52,X1055,73, F,C
53,X1056,54, M,C
54,X1057,73, F,C
55,X1058,96, M,C
56,X1059,57, F,C
57,X1060,76, F,C
58,X1061,47, F,C
59,X1062,54, M,C
60,X1063,73, F,C
61,X1064,84, F,C
62,X1065,62, M,C
63,X1066,89, F,C
64,X1067,68, M,C
65,X1068,62, F,C
66,X1069,79, F,C
67,X1070,72, M,C
68,X1071,69, F,C
69,X1072,55, M,C
70,X1074,73, F,C
71,X1075,79, F,C
72,X1076,72, M,C
73,X1077,89, M,C
74,X1078,79, M,C
75,X1079,85, M,C
76,X1080,68, F,C
77,X1081,89, M,C
78,X1082,73, F,C
79,X1083,63, F,C
80,X1085,78, F,C
81,X1086,65, F,C
82,X1087,65, F,C
83,X1088,89, M,C
84,X1090,85, M,C
85,X1091,66, M,C
86,X1092,76, M,C
87,X1093,74, M,C
88,X1095,84, F,C
89,X1096,71, F,C
90,X2001,49, F,C
91,X2002,69, M,C
92,X2003,63, M,C
93,X2005,66, M,C
94,X2006,85, M,C
95,X2007,76, M,C
96,X2008,84, M,C
97,X2009,59, M,C
98,X2010,70, F,C
99,X2011,65, M,C
100,X2012,68, M,C
101,X2013,84, F,C
102,X2014,75, M,C
103,X2017,51, M,C
104,X2018,63, F,C
105,X2019,69, F,C
106,X2020,78, F,C
107,X2021,78, M,C
108,X2022,52, F,C
109,X2023,49, M,C
110,X2024,53, F,C
111,X2025,59, F,C
112,X2026,62, M,C
113,X2027,46, M,C
114,X2028,68, M,C
115,X2029,74, M,C
116,X2030,59, M,C
117,X2031,76, M,C
118,X2032,54, F,C
119,X2033,59, M,C
120,X2034,48, M,C
121,X2035,45, M,C
122,X2036,62, M,C
123,X2038,63, M,C
124,X2039,80, M,C
125,X2040,60, M,C
126,X2041,71, M,C
127,X2042,67, M,C
128,X2043,50, M,C
129,X2044,86, F,C
130,X2045,70, M,C
131,X2046,54, M,C
132,X2047,69, F,C
133,X2048,76, F,C
134,X2049,58, F,C
135,X2050,58, M,C
136,X2051,64, F,C
137,X2052,73, M,C
138,X2053,49, M,C
139,X2054,56, M,C
140,X2055,75, M,C
141,X2056,48, M,C
142,X2058,81, M,C
143,X2059,72, F,C
144,X2060,61, F,C
145,X2063,50, F,C
146,X2064,69, F,C
147,X2065,65, M,C
148,X2066,47, F,C
149,X2068,43, M,C
150,X2069,55, F,C
151,X2070,54, M,C
152,X2071,58, M,C
153,X2072,34, M,C
154,X2074,65, M,C
155,X2075,52, F,C
156,X2076,32, F,C
157,X2077,47, M,C
158,X2078,54, M,C
159,X2079,63, F,C
160,X2080,28, M,C
161,X2081,54, F,C
162,X2082,59, M,C
163,X2084,56, M,C
164,X2085,50, M,C
165,X2086,30, M,C
166,X2089,50, M,C
167,X2090,47, F,C
168,X2091,47, M,C
169,X2092,33, F,C
170,X2093,38, M,C
171,X2094,35, F,C
172,X2095,47, M,C
173,X2096,80, M,C
174,X3012,86, M,C
175,X3013,71, F,C
176,X3014,77, F,C
177,X3015,67, M,C
178,X3016,84, M,C
